,Images,IoU Count,Label
0,0,9.0,1
1,1,0.0,1
2,2,15.0,3
3,3,6.0,3
4,4,13.0,0
5,5,2.0,7
6,6,12.0,5
7,7,10.0,2
8,8,6.0,5
9,9,9.0,2
10,10,0.0,2
11,11,3.0,3
12,12,9.0,6
13,13,4.0,3
14,14,7.0,6
15,15,10.0,2
16,16,9.0,1
17,17,2.0,3
18,18,5.0,0
19,19,6.0,10
20,20,4.0,11
21,21,4.0,0
22,22,0.0,3
23,23,17.0,0
24,24,3.0,5
25,25,4.0,3
26,26,7.0,4
27,27,3.0,0
28,28,3.0,0
29,29,0.0,0
30,30,2.0,1
31,31,4.0,3
32,32,9.0,5
33,33,7.0,0
34,34,2.0,3
35,35,3.0,3
36,36,5.0,22
37,37,5.0,1
38,38,0.0,3
39,39,5.0,1
40,40,6.0,1
41,41,5.0,2
42,42,8.0,1
43,43,3.0,0
44,44,9.0,4
45,45,3.0,13
46,46,0.0,0
47,47,5.0,0
48,48,12.0,0
49,49,7.0,1
50,50,10.0,0
51,51,9.0,3
52,52,6.0,4
53,53,4.0,8
54,54,0.0,1
55,55,10.0,3
56,56,6.0,14
57,57,2.0,1
58,58,3.0,1
59,59,10.0,1
60,60,6.0,0
61,61,2.0,3
62,62,2.0,1
63,63,3.0,5
64,64,3.0,0
65,65,0.0,1
66,66,3.0,9
67,67,11.0,1
68,68,2.0,7
69,69,1.0,2
70,70,13.0,19
71,71,1.0,0
72,72,4.0,2
73,73,6.0,1
74,74,6.0,4
75,75,2.0,0
76,76,9.0,1
77,77,1.0,3
78,78,3.0,0
79,79,9.0,5
80,80,2.0,1
81,81,8.0,3
82,82,7.0,3
83,83,13.0,1
84,84,11.0,1
85,85,2.0,2
86,86,7.0,2
87,87,10.0,4
88,88,7.0,1
89,89,10.0,1
90,90,5.0,19
91,91,5.0,2
92,92,7.0,1
93,93,4.0,0
94,94,6.0,2
95,95,5.0,3
96,96,4.0,0
97,97,10.0,1
98,98,4.0,10
99,99,9.0,1
100,100,15.0,5
101,101,1.0,7
102,102,10.0,0
103,103,7.0,7
104,104,9.0,0
105,105,16.0,0
106,106,3.0,2
107,107,0.0,4
108,108,2.0,12
109,109,17.0,3
110,110,3.0,1
111,111,5.0,15
112,112,13.0,2
113,113,7.0,2
114,114,7.0,1
115,115,12.0,3
116,116,5.0,2
117,117,1.0,9
118,118,0.0,5
119,119,4.0,3
120,120,9.0,17
121,121,12.0,5
